Recommendation,Interview Quotes,Abstracts,Main Idea,Code,Theme,Specific,Amount of Interviews,Tags,AllText
92,"Of first showing the history, showing the motivation, showing the problem, and making some hooks with possible solutions that Devops was bringing, suitable?","The assembly of classes should follow the following steps to use DevOps: history, motivation, problems that can be solved, and possible solutions with DevOps.",,class sequence,class preparation,yes,1,teaching method; motivation; history; problem; solution; background; preparation; issue; answer; combination,"Of first showing the history, showing the motivation, showing the problem, and making some hooks with possible solutions that Devops was bringing, suitable? The assembly of classes should follow the following steps to use DevOps: history, motivation, problems that can be solved, and possible solutions with DevOps.  teaching method; motivation; history; problem; solution; background; preparation; issue; answer; combination"
93,"So, we ended up choosing Java because it is the greatest strength; ours, that was Java.",Use a programming language that the teacher knows.,,Use of a comfortable programming language for the teacher,tool / technology,yes,1,coding; programming; tool; technology; automation,"So, we ended up choosing Java because it is the greatest strength; ours, that was Java. Use a programming language that the teacher knows.  coding; programming; tool; technology; automation"
95,"We don't evaluate, [...] but we keep observing, right, the students, and such throughout the training.",Monitor student progress throughout training by conducting a traditional assessment.,,Monitoring rather than traditional evaluation,assessment,no,1,monitoring; progress; traditional; assessment; evaluation; supervision; evolution,"We don't evaluate, [...] but we keep observing, right, the students, and such throughout the training. Monitor student progress throughout training by conducting a traditional assessment.  monitoring; progress; traditional; assessment; evaluation; supervision; evolution"
96,"One important thing for me, which became apparent during my studies, is that I had to show the background, the motivation somehow, so I wanted to fit it in any way in the curriculum at the beginning, showing the history of software development [...] include these topics, like, more historical, which are not good, are not technical, right? But in a way that isn't too boring, you also [...] have to fit this with the technical part [...] With concepts of continuous integration, continuous delivery, continuous deployment, tools, automation, anyway.","Contextualize the historical aspects and definition of continuous integration, continuous delivery, continuous deployment, and automation concepts.",,"Contextualization of historical aspects and definition of concepts Continuous integration, continuous delivery, continuous deployment and automation.",devops concepts,yes,1,history; continuous integration; continuous delivery; continuous deployment; automation; concept; theory; cd; gradual; technique; background; ci,"One important thing for me, which became apparent during my studies, is that I had to show the background, the motivation somehow, so I wanted to fit it in any way in the curriculum at the beginning, showing the history of software development [...] include these topics, like, more historical, which are not good, are not technical, right? But in a way that isn't too boring, you also [...] have to fit this with the technical part [...] With concepts of continuous integration, continuous delivery, continuous deployment, tools, automation, anyway. Contextualize the historical aspects and definition of continuous integration, continuous delivery, continuous deployment, and automation concepts.  history; continuous integration; continuous delivery; continuous deployment; automation; concept; theory; cd; gradual; technique; background; ci"
97," I had to show the history somehow... the history of software development, showing about the processes. Cascade, RUP, agile, talk a lot about agile, because it's related and fit these topics, so, more historical, not sound, not technical... And make a parallel, there, with the agile world with the problems that DevOps came to solve, right?

I'm trying to tie the application of the devops principles and techniques and technologies, and to, and to link that together with agile approaches, for example.

We help them manage stories, backlog. Uh, so it's more on the front of, we give you requirements.

If you want to be able to experiment and, and to, to, to do the postmortem so that you can learn and you can solve issues and stuff.

I have to do more of this, um, story telling. ... I'm trying to share my experience with the students.","It is important to show the relationship of DevOps with software development models, notably Agile.

Tie application of DevOps principles, techniques and technologies with Agile approaches.

Help students manage stories and backlog.

Make post mortem with the students to solve problems.

Use storytelling to share experience with the students.",Use Agile approaches in DevOps classes., Comparison between DevOps and software development models,devops concepts,yes,4,model; agile; principle; technique; story; backlog; post mortem; sotrytelling; sharing; convention; rule; approach; history," I had to show the history somehow... the history of software development, showing about the processes. Cascade, RUP, agile, talk a lot about agile, because it's related and fit these topics, so, more historical, not sound, not technical... And make a parallel, there, with the agile world with the problems that DevOps came to solve, right?

I'm trying to tie the application of the devops principles and techniques and technologies, and to, and to link that together with agile approaches, for example.

We help them manage stories, backlog. Uh, so it's more on the front of, we give you requirements.

If you want to be able to experiment and, and to, to, to do the postmortem so that you can learn and you can solve issues and stuff.

I have to do more of this, um, story telling. ... I'm trying to share my experience with the students. It is important to show the relationship of DevOps with software development models, notably Agile.

Tie application of DevOps principles, techniques and technologies with Agile approaches.

Help students manage stories and backlog.

Make post mortem with the students to solve problems.

Use storytelling to share experience with the students. Use Agile approaches in DevOps classes. model; agile; principle; technique; story; backlog; post mortem; sotrytelling; sharing; convention; rule; approach; history"
98,To get Everything ready to avoid problems and lose the focus and essence of the group.,Start a class with a pre-organized structure.,,Infrastructure previously organized,environment setup,no,1,organization; structure; class; environment; planning; setup,To get Everything ready to avoid problems and lose the focus and essence of the group. Start a class with a pre-organized structure.  organization; structure; class; environment; planning; setup
100,"Working so hard on the theoretical aspects needed to understand why things in DevOps are in SRE as a whole [...] you have to have that.

Thus, DevOps and SRE are concepts that were born much more strongly in practice than in state of the art, that is, much more in the industry than necessarily in the university. So for you to deal with these concepts without making a real explanation, or bringing the main players about how they did it and why they did it, it is essential.","Relate devops to site reliability engineering (sre) for students.

Show the historical importance of DevOps and SRE concepts from the main players in the industry.",Relate devops to site reliability engineering (sre) for students.,Historical importance of DevOps and their relationship with SRE,devops concepts,yes,1,site reliability engineering; SRE; industry,"Working so hard on the theoretical aspects needed to understand why things in DevOps are in SRE as a whole [...] you have to have that.

Thus, DevOps and SRE are concepts that were born much more strongly in practice than in state of the art, that is, much more in the industry than necessarily in the university. So for you to deal with these concepts without making a real explanation, or bringing the main players about how they did it and why they did it, it is essential. Relate devops to site reliability engineering (sre) for students.

Show the historical importance of DevOps and SRE concepts from the main players in the industry. Relate devops to site reliability engineering (sre) for students. site reliability engineering; SRE; industry"
103,"To bring the concept applied, then use a CDL approach, or PBL, that helps a lot, because then you have to present the problem and then show the idea behind the resolution of that problem.",Make use of the Comprehensive Distance Learning (CDL) teaching methodology.,,"Use of Comprehensive Distance Learning Teaching Methodology (CDL).
 ",strategies in course execution,no,1,cdl; comprehensive distance learning; teaching method; strategy; execution,"To bring the concept applied, then use a CDL approach, or PBL, that helps a lot, because then you have to present the problem and then show the idea behind the resolution of that problem. Make use of the Comprehensive Distance Learning (CDL) teaching methodology.  cdl; comprehensive distance learning; teaching method; strategy; execution"
104,"DevOps comes very close in these quirks of software architecture-like chairs. You can't just stick to the concepts. In theory, you have to show the realization of these things.

You have to learn by doing.

You can't learn the DevOps culture from a book.

Once you've been to the exercise session, you have to go back to the concept again and display them again because the, some concept only makes sense when you apply them.

I was saying at the beginning is that when you tell them that they're going to get their hands dirty and things that work one day will not work the other day, they start laughing. They don't take it seriously. Um, and then when they, when they building and they build a script to, I don't know, run some integration tests or to magically build Docker images and deploy them, it works on the machine on one guy of the group because they're working group, right? So they talk together. The one guy actually typing on the keyboard, he commits a script and they go, yes, we're done for the day. Let's go to some of the tasks, right? And then the next day somebody else was in the group wants to use it. And it doesn't work for them because they have a different environment because the script was assuming that the Docker was installed.

If we can have a students together working together and, um, working on the projects and developing projects together at the same time while the teachers are there and they, uh, we can, uh, see what they are doing, that would be better. And I think we will, uh, hopefully do this, uh, next year when grown-up situation gets better.","It takes practice to understand DevOps concepts.

It is necessary to practice DevOps knowledge.

You can't learn the DevOps culture from a book.

DevOps concepts need to be shown in practice so that students can understand.

Students only understand problems of the environment setup when they experiment in the practice.

Promote a moment to students practice while teachers are around to help them.",It takes practice to understand DevOps concepts.,practice for fixing the concepts,strategies in course execution,yes,4,practice; concept; knowledge; culture; mindset; book; problem; environment; setup; theory; skill; learning; technique; teaching; strategy; execution,"DevOps comes very close in these quirks of software architecture-like chairs. You can't just stick to the concepts. In theory, you have to show the realization of these things.

You have to learn by doing.

You can't learn the DevOps culture from a book.

Once you've been to the exercise session, you have to go back to the concept again and display them again because the, some concept only makes sense when you apply them.

I was saying at the beginning is that when you tell them that they're going to get their hands dirty and things that work one day will not work the other day, they start laughing. They don't take it seriously. Um, and then when they, when they building and they build a script to, I don't know, run some integration tests or to magically build Docker images and deploy them, it works on the machine on one guy of the group because they're working group, right? So they talk together. The one guy actually typing on the keyboard, he commits a script and they go, yes, we're done for the day. Let's go to some of the tasks, right? And then the next day somebody else was in the group wants to use it. And it doesn't work for them because they have a different environment because the script was assuming that the Docker was installed.

If we can have a students together working together and, um, working on the projects and developing projects together at the same time while the teachers are there and they, uh, we can, uh, see what they are doing, that would be better. And I think we will, uh, hopefully do this, uh, next year when grown-up situation gets better. It takes practice to understand DevOps concepts.

It is necessary to practice DevOps knowledge.

You can't learn the DevOps culture from a book.

DevOps concepts need to be shown in practice so that students can understand.

Students only understand problems of the environment setup when they experiment in the practice.

Promote a moment to students practice while teachers are around to help them. It takes practice to understand DevOps concepts. practice; concept; knowledge; culture; mindset; book; problem; environment; setup; theory; skill; learning; technique; teaching; strategy; execution"
105,I usually study the subject to understand and then see the best way to explain that subject.,Study the subject thoroughly before preparing for classes.,,Study of many subjects before preparing classes.,class preparation,no,1,subject; study; preparation; analyse,I usually study the subject to understand and then see the best way to explain that subject. Study the subject thoroughly before preparing for classes.  subject; study; preparation; analyse
106,"You propose the dynamics and have these things move the group because otherwise, it gets so dull.",Use dynamics to inspire the class.,,dynamics for inspiration to class,strategies in course execution,no,1,dynamic; teaching method; motivation; strategy; execution,"You propose the dynamics and have these things move the group because otherwise, it gets so dull. Use dynamics to inspire the class.  dynamic; teaching method; motivation; strategy; execution"
108,"I try to bring this up: Mesos, Marathon, then Swarm, even to exercise the concepts is more accessible, lighter than Kubernetes, and then after Kubernetes, Rancher, for example.","Initially, adopt more straightforward tools such as Mesos, Marathon, and Docker Swarm before using the Kubernetes tool.",,"Use of Mesos, Marathon and Docker Swarm, before Kubernetes.",tool / technology,yes,1,mesos; marathon; docker; swarm; kubernetes; cloud; tool; technology; automation,"I try to bring this up: Mesos, Marathon, then Swarm, even to exercise the concepts is more accessible, lighter than Kubernetes, and then after Kubernetes, Rancher, for example. Initially, adopt more straightforward tools such as Mesos, Marathon, and Docker Swarm before using the Kubernetes tool.  mesos; marathon; docker; swarm; kubernetes; cloud; tool; technology; automation"
109,"Some settings you can have for us to help, like, oh, you have the monitors team, for example, this allows you to go to a more excellent practical line because you'll have more arms to help you, evaluate and everything else.

We had to do as TAs and other things I think, uh, we, it's not, uh, only before the lecture, but during the whole, uh, time that this, uh, this course was, uh, going on, we had to check the, uh, check the github. And, um, students had, since they had to make some contributions, uh, we had to make sure that their contributions, uh, could pass all the checks that we had. [...] So we had to check that they were doing what they were supposed to do before the lectures, during the lectures and after it. So that was our, uh, our role in this course.

What we've done in this case was to let the TA grade the projects, um, because then it was way more simple. And as the two props, we were, uh, grading the exams and were like cross validating.","If possible, have a team of monitors to assist in the assessment process.

Teacher assistants check if students contributions pass all the roles of the course.

Teacher assistants grade the projects and the professors grade the exams with cross validating.",Teacher assistants help in the assessment process.,Monitor staff helping evaluation,assessment,no,3,monitor; teacher assistant; project; grade; exam; cross validation; quiz; assessment; activity; task; mission; evaluation; test; score; ta,"Some settings you can have for us to help, like, oh, you have the monitors team, for example, this allows you to go to a more excellent practical line because you'll have more arms to help you, evaluate and everything else.

We had to do as TAs and other things I think, uh, we, it's not, uh, only before the lecture, but during the whole, uh, time that this, uh, this course was, uh, going on, we had to check the, uh, check the github. And, um, students had, since they had to make some contributions, uh, we had to make sure that their contributions, uh, could pass all the checks that we had. [...] So we had to check that they were doing what they were supposed to do before the lectures, during the lectures and after it. So that was our, uh, our role in this course.

What we've done in this case was to let the TA grade the projects, um, because then it was way more simple. And as the two props, we were, uh, grading the exams and were like cross validating. If possible, have a team of monitors to assist in the assessment process.

Teacher assistants check if students contributions pass all the roles of the course.

Teacher assistants grade the projects and the professors grade the exams with cross validating. Teacher assistants help in the assessment process. monitor; teacher assistant; project; grade; exam; cross validation; quiz; assessment; activity; task; mission; evaluation; test; score; ta"
110,"Because it is based on the assumption in all my disciplines that, right, knowledge is an open work, right? I'm not the holder of all knowledge [...] So they learn to curate what is relevant, necessary or not, is part of my teaching and learning processes.

So, in my activities, I always try to put a decision-making Delta that belongs to the team, right? To the students and who will obviously assess their understanding in all the semester's discussions. So, all decisions are valid, obviously, right?","Instigate students' critical thinking and encourage the self-taught search for extra-class information.

Promote and evaluate students' independent decision-making in the learning process.",Promote students' independent decision-making in the learning process.,Incentive of critical thinking of students and self-taught search for more information,strategies in course execution,no,1,critical thinking; self-taught; extra-class; independence; decision-making; learning process; strategy; execution,"Because it is based on the assumption in all my disciplines that, right, knowledge is an open work, right? I'm not the holder of all knowledge [...] So they learn to curate what is relevant, necessary or not, is part of my teaching and learning processes.

So, in my activities, I always try to put a decision-making Delta that belongs to the team, right? To the students and who will obviously assess their understanding in all the semester's discussions. So, all decisions are valid, obviously, right? Instigate students' critical thinking and encourage the self-taught search for extra-class information.

Promote and evaluate students' independent decision-making in the learning process. Promote students' independent decision-making in the learning process. critical thinking; self-taught; extra-class; independence; decision-making; learning process; strategy; execution"
111,"I already have mine that has my discipline ready, right? So the challenge, for those who will start one, is less.

I already have mine that has my discipline ready, right? So the challenge, for those who will start one, is less.","You can use the discipline that the interviewee professor Vinicius elaborated as a reference for the elaboration of other DevOps disciplines.

Use other DevOps courses as a reference.","Use other DevOps courses as a reference.
",Use of discipline elaborated by the interviewee P7 as a reference for other DevOps disciplines.,curriculum,yes,1,discipline; reference; resource; curriculum; syllabus; schedule,"I already have mine that has my discipline ready, right? So the challenge, for those who will start one, is less.

I already have mine that has my discipline ready, right? So the challenge, for those who will start one, is less. You can use the discipline that the interviewee professor Vinicius elaborated as a reference for the elaboration of other DevOps disciplines.

Use other DevOps courses as a reference. Use other DevOps courses as a reference.
 discipline; reference; resource; curriculum; syllabus; schedule"
112,"PBL matches very well with, at least like this, how I see the DevOps signals or architecture, or MicroServices, which is another discipline I have; it's cool because you can start from the problem and show why people are using what are you using. So I think it matches perfectly.

Bringing the concept applied, then use an approach like CDL, or PBL, that helps a lot because then you have a way to present the problem and then show the concept behind the resolution of that problem.

Most of the time to give a problem solving questions where I put a problem and say, okay, and push a student to critically think. ... , I put a problem and then we'll come up with the solutions for the problem. And I haven't been able to find a good way to do that with DevOps, in, uh, in terms of assessment.

We decided to go on a problem-based approach. So having like introductory lecture, giving the context, giving the leads to follow, then getting a problem based on, on, uh, like a long-term project for the whole semester.","Make use of Problem-Based Learning (PBL).

Problem-Based Learning (PBL) is great for teaching DevOps.

Use problem solving questions in DevOps assessment. It pushs student to critically think.

Use problem-based approach on the projects of the students.",Problem-Based Learning (PBL) is great for teaching DevOps.,Use of Problem-based Learning (PBL) for the teaching of DevOps.,strategies in course execution,yes,3,problem based learning; pbl; teaching method; project; activity; task; mission; strategy; execution,"PBL matches very well with, at least like this, how I see the DevOps signals or architecture, or MicroServices, which is another discipline I have; it's cool because you can start from the problem and show why people are using what are you using. So I think it matches perfectly.

Bringing the concept applied, then use an approach like CDL, or PBL, that helps a lot because then you have a way to present the problem and then show the concept behind the resolution of that problem.

Most of the time to give a problem solving questions where I put a problem and say, okay, and push a student to critically think. ... , I put a problem and then we'll come up with the solutions for the problem. And I haven't been able to find a good way to do that with DevOps, in, uh, in terms of assessment.

We decided to go on a problem-based approach. So having like introductory lecture, giving the context, giving the leads to follow, then getting a problem based on, on, uh, like a long-term project for the whole semester. Make use of Problem-Based Learning (PBL).

Problem-Based Learning (PBL) is great for teaching DevOps.

Use problem solving questions in DevOps assessment. It pushs student to critically think.

Use problem-based approach on the projects of the students. Problem-Based Learning (PBL) is great for teaching DevOps. problem based learning; pbl; teaching method; project; activity; task; mission; strategy; execution"
113,"Today, I don't use it; I use not only PBL; there is an inverted classroom, right? I think this translation is into Portuguese; I work with missions, right? So, the execution itself is Agile; we always have a post-mortem for each task. My methodology today, at work, is a combination of a series of different good practices that come from my professional experience and part of what I learned, seeing that it worked and didn't work while teaching.","Merge good practices of Problem-Based Learning (PBL), inverted class and Agile, through classroom experimentation.",,Merges of teaching methodologies Problem-based learning and inverted class with Agile,strategies in course execution,no,1,problem based learning; pbl; teaching method; inverted class; agile; experimentation; strategy; execution,"Today, I don't use it; I use not only PBL; there is an inverted classroom, right? I think this translation is into Portuguese; I work with missions, right? So, the execution itself is Agile; we always have a post-mortem for each task. My methodology today, at work, is a combination of a series of different good practices that come from my professional experience and part of what I learned, seeing that it worked and didn't work while teaching. Merge good practices of Problem-Based Learning (PBL), inverted class and Agile, through classroom experimentation.  problem based learning; pbl; teaching method; inverted class; agile; experimentation; strategy; execution"
114,"I break them up into nine teams of five students each.

For this course, I haven't done as much in terms of team projects, although I'm rolling that around to every, because everybody loves team projects.

 There was something like 17 groups.

I put them by a team of four, six per group, and then we work together and, and that's good also because it may be working in a team.","Organize the students into teams of five.

Students like to work on team projects.

Students organized by groups.

Put students to work by a team of four to six per group.",Organize the students into teams.,team-based student organization,strategies in course execution,no,4,team; group; project; organization; strategy; execution,"I break them up into nine teams of five students each.

For this course, I haven't done as much in terms of team projects, although I'm rolling that around to every, because everybody loves team projects.

 There was something like 17 groups.

I put them by a team of four, six per group, and then we work together and, and that's good also because it may be working in a team. Organize the students into teams of five.

Students like to work on team projects.

Students organized by groups.

Put students to work by a team of four to six per group. Organize the students into teams. team; group; project; organization; strategy; execution"
115,"And then I tell them, I am not going to grade you on what you submit. I'm going to grade you on how you got there because getting there is not the point. It's the journey, right? That's the point. It's how you got there. And so, um, I teach my class in sprints. We do five, two weeks sprints in a 15-week course. And I give them the requirements for each sprint, what I need them to build. And I teach them how to do agile planning. And then they go build an agile plan.

So I try to force them into these situations that really drive home the message of how to work as a DevOps team, how to work agile, but you've got to live it.

So we do things in sort of an iterative and incremental model where every week or every sprint, if you will build on the previous one.","I teach my class in sprints. We do five, two weeks sprints in a 15-week course. I give them the requirements for each sprint, what I need them to build and I teach them how to do agile planning. Then they go build an agile plan.

Make students experiment situations where they can learn how to work as a DevOps team, how to work agile.

Use an incremental models with sprints.",Do agile planning with sprints.,organization of the course in sprints,strategies in course execution,no,2,agile; planning; sprint; team; group; organization; strategy; execution,"And then I tell them, I am not going to grade you on what you submit. I'm going to grade you on how you got there because getting there is not the point. It's the journey, right? That's the point. It's how you got there. And so, um, I teach my class in sprints. We do five, two weeks sprints in a 15-week course. And I give them the requirements for each sprint, what I need them to build. And I teach them how to do agile planning. And then they go build an agile plan.

So I try to force them into these situations that really drive home the message of how to work as a DevOps team, how to work agile, but you've got to live it.

So we do things in sort of an iterative and incremental model where every week or every sprint, if you will build on the previous one. I teach my class in sprints. We do five, two weeks sprints in a 15-week course. I give them the requirements for each sprint, what I need them to build and I teach them how to do agile planning. Then they go build an agile plan.

Make students experiment situations where they can learn how to work as a DevOps team, how to work agile.

Use an incremental models with sprints. Do agile planning with sprints. agile; planning; sprint; team; group; organization; strategy; execution"
116,"Those are the ones you remember, right? Not just read, right? If you learn in the abstract, you'll soon forget it. But if you learn in context, then you'll remember it because you understood why you did it. So I try to teach them just enough to get them going.

 I used to have people stand up during Jenkins instances to do the work, but that just at the end of the day, that's a distraction. My goal is not to teach them how to administer Jenkins.

I'm having conversations with the university about trying to take the devops course and essentially converting it to a three course sequence one for agile, one for kind of the dev part of devops and one for the ops part of devops.

So second one is about establishing the pipeline and then they finish the second one by, uh, building the Docker images. But it's not in depth about containers or, or kubernetes, but that's easily touch it. Okay.

They need to do concrete things ... it's to be able to traverse the whole thing without necessarily going in depth about all of these things.

I need very solid, uh, research. It's a sorry, a lab assistance. The people responsible for the labs of course, assistants that that can actually deal with the students. So I'm lucky to have students and have good industrial experience, uh, to do that.","Teach just enough to get them going so they can learn in the right context.

Do not focus on unnecessary features of tools like avoid administering Jenkins if you want to practice continuous integration.

You cannot possibly get through everything in details.

Teach how to use tools like Docker and Kubernetes but do not much depth.

Do concrete things without necessarily going in depth about all.

Do not teach deeply some hard technologies like Kubernetes.",Teach just enough of DevOps tools to get the students going so they can learn in the right context. ,teach just enough so learn in the right context,strategies in course execution,yes,3,tradeoff; simple; context; focus; jenkins; docker; kubernetes; relation; strategy; execution,"Those are the ones you remember, right? Not just read, right? If you learn in the abstract, you'll soon forget it. But if you learn in context, then you'll remember it because you understood why you did it. So I try to teach them just enough to get them going.

 I used to have people stand up during Jenkins instances to do the work, but that just at the end of the day, that's a distraction. My goal is not to teach them how to administer Jenkins.

I'm having conversations with the university about trying to take the devops course and essentially converting it to a three course sequence one for agile, one for kind of the dev part of devops and one for the ops part of devops.

So second one is about establishing the pipeline and then they finish the second one by, uh, building the Docker images. But it's not in depth about containers or, or kubernetes, but that's easily touch it. Okay.

They need to do concrete things ... it's to be able to traverse the whole thing without necessarily going in depth about all of these things.

I need very solid, uh, research. It's a sorry, a lab assistance. The people responsible for the labs of course, assistants that that can actually deal with the students. So I'm lucky to have students and have good industrial experience, uh, to do that. Teach just enough to get them going so they can learn in the right context.

Do not focus on unnecessary features of tools like avoid administering Jenkins if you want to practice continuous integration.

You cannot possibly get through everything in details.

Teach how to use tools like Docker and Kubernetes but do not much depth.

Do concrete things without necessarily going in depth about all.

Do not teach deeply some hard technologies like Kubernetes. Teach just enough of DevOps tools to get the students going so they can learn in the right context.  tradeoff; simple; context; focus; jenkins; docker; kubernetes; relation; strategy; execution"
117,"I teach them how to work as a DevOps team. And we create a slack channel. , and I create a channel for each one of the teams. And they're all collaborating in their channel. They have 24/7 access to me. They can ping me at any time on slack.

You have a question, ask me the question in the moment, right? Because that's when the answer is important to you.

Whenever they have a problem they can come to me. And I tell them, don't spend too much time Googling stuff. If you don't understand something, ask me if, if you don't understand what I presented, then I didn't present it in a way that you could connect with it. [...] Everybody learns differently.

I'm always asking you the last factor. I'm always taking almost an hour to, as a student. Just give me your feedback. Like, like very openly, right? That's you should all give me a feedback again.

Each week we had, uh, four hours of, uh, lectures and answering questions from students and, and, uh, making, making some points about the course more clear.","I teach them how to work as a DevOps team. And they're all collaborating in their channel. They have 24/7 access to me. They can ping me at any time on slack.

The student's question should be answered in the moment.

Incentive professor-students interaction, easing fast solving questions.

Take time to hear student's feedbacks very openly and give them your feedback too.

Separate time to answer students questions, each week, four hours, lectures and answering questions, making some points about the course more clear.",Provide fast feedback to the students.,fast feedback to the student questions,strategies in course execution,no,3,team; collaboration; slack; communication; feedback; interaction; question; time; participation; partnership; conversation; discussion; answer; strategy; execution,"I teach them how to work as a DevOps team. And we create a slack channel. , and I create a channel for each one of the teams. And they're all collaborating in their channel. They have 24/7 access to me. They can ping me at any time on slack.

You have a question, ask me the question in the moment, right? Because that's when the answer is important to you.

Whenever they have a problem they can come to me. And I tell them, don't spend too much time Googling stuff. If you don't understand something, ask me if, if you don't understand what I presented, then I didn't present it in a way that you could connect with it. [...] Everybody learns differently.

I'm always asking you the last factor. I'm always taking almost an hour to, as a student. Just give me your feedback. Like, like very openly, right? That's you should all give me a feedback again.

Each week we had, uh, four hours of, uh, lectures and answering questions from students and, and, uh, making, making some points about the course more clear. I teach them how to work as a DevOps team. And they're all collaborating in their channel. They have 24/7 access to me. They can ping me at any time on slack.

The student's question should be answered in the moment.

Incentive professor-students interaction, easing fast solving questions.

Take time to hear student's feedbacks very openly and give them your feedback too.

Separate time to answer students questions, each week, four hours, lectures and answering questions, making some points about the course more clear. Provide fast feedback to the students. team; collaboration; slack; communication; feedback; interaction; question; time; participation; partnership; conversation; discussion; answer; strategy; execution"
118,"I like to make them feel a little bit of pain before I give them the solution. So I will have them to run their test cases.

The thing I've done to try to avoid a little bit of the mess is I want to go gradual. I want to be gradual in the class. So first I teach compilation and testing. Then I teach continuous integration. team A is going to build one piece team B is going to build another piece that depends upon what team is built.","Don't give the solution right away, let them reach it first for themselves.

Teach DevOps giving the content gradually, like first teach compilation and testing, then continuous integration; do not give everything right away so easily.",Don't give the solution right away.,incrementally DevOps content teaching,strategies in course execution,no,2,solution; independence; gradual; compilation; test; continuous integration; incremental; answer; strategy; execution; ci,"I like to make them feel a little bit of pain before I give them the solution. So I will have them to run their test cases.

The thing I've done to try to avoid a little bit of the mess is I want to go gradual. I want to be gradual in the class. So first I teach compilation and testing. Then I teach continuous integration. team A is going to build one piece team B is going to build another piece that depends upon what team is built. Don't give the solution right away, let them reach it first for themselves.

Teach DevOps giving the content gradually, like first teach compilation and testing, then continuous integration; do not give everything right away so easily. Don't give the solution right away. solution; independence; gradual; compilation; test; continuous integration; incremental; answer; strategy; execution; ci"
119,"I'll have them run their test cases manually. And then when someone makes a pull request, I'm like, well, you need to clone that, run the test case. [...] And then [.. ] I show them how to [...] automatically run the test cases. [...] And so they write all the test cases. And then, and then I, I teach them about code coverage. I said, it's not about the test passing. If the code coverage go down, then somebody code it without writing a test case, don't merge that pull-request, right? So I'm teaching this whole culture, right? This way of working. [...] Then finally we push it to the cloud. We set up CD pipelines to deploy things in the cloud","Write some tests cases manually, do pull requests, do test automation with CI, write all test cases, teach code coverage. Then finally setup CD pipeline to deploy the application in the cloud.",,"test cases manually, pull requests, test automation CI, test cases, code coverage. Setup CD pipeline deploy application in cloud.",strategies in course execution,yes,1,test; pull request; test; automation; ci; continuous integration; code coverage; continuous delivery; cd; pipeline; technology; gradual; technique; skill; strategy; execution; continuous deployment,"I'll have them run their test cases manually. And then when someone makes a pull request, I'm like, well, you need to clone that, run the test case. [...] And then [.. ] I show them how to [...] automatically run the test cases. [...] And so they write all the test cases. And then, and then I, I teach them about code coverage. I said, it's not about the test passing. If the code coverage go down, then somebody code it without writing a test case, don't merge that pull-request, right? So I'm teaching this whole culture, right? This way of working. [...] Then finally we push it to the cloud. We set up CD pipelines to deploy things in the cloud Write some tests cases manually, do pull requests, do test automation with CI, write all test cases, teach code coverage. Then finally setup CD pipeline to deploy the application in the cloud.  test; pull request; test; automation; ci; continuous integration; code coverage; continuous delivery; cd; pipeline; technology; gradual; technique; skill; strategy; execution; continuous deployment"
120,"So sometimes a student will say to me: ""professor, what do I do if another student is like not pulling their weight on the team?"", And I say: ""when you go to a job interview, you're going to be asked the question, tell me about a time when a member of your team wasn't pulling their weight. And what did you do to get them excited and to contribute again, today's the day to go write that story. Today's the data to write the answer to that question"".

You need to sit together and experience because if you can't work as a team, you're not gonna make it right out in industry because we want team players. I don't want heroes. I don't want people who saved the day. I want people who mentor each other.","Make the group motivation a responsibility of themselves, students should motivate each other.

Teaching how to students mentor each other is one of the most important things and must be a priority.",Make the group motivation a responsibility of themselves.,students' motivation for themselves,strategies in course execution,no,1,group; motivation; responsibility; mentor; organization; coach; engagement; strategy; execution,"So sometimes a student will say to me: ""professor, what do I do if another student is like not pulling their weight on the team?"", And I say: ""when you go to a job interview, you're going to be asked the question, tell me about a time when a member of your team wasn't pulling their weight. And what did you do to get them excited and to contribute again, today's the day to go write that story. Today's the data to write the answer to that question"".

You need to sit together and experience because if you can't work as a team, you're not gonna make it right out in industry because we want team players. I don't want heroes. I don't want people who saved the day. I want people who mentor each other. Make the group motivation a responsibility of themselves, students should motivate each other.

Teaching how to students mentor each other is one of the most important things and must be a priority. Make the group motivation a responsibility of themselves. group; motivation; responsibility; mentor; organization; coach; engagement; strategy; execution"
121,"Do they understand what the cloud is? It'd be great if there was a cloud course before mine, but there isn't.

It's an option that we give them the year before too preparing them.","It'd be great if there was a Cloud course before DevOps course.

Prepare students with previous courses.",Prepare students with previous courses that teach related DevOps concepts.,preparation of the students based on previous courses,curriculum,yes,2,cloud; requisite; discipline; curriculum; syllabus; mandatory; prerequisite,"Do they understand what the cloud is? It'd be great if there was a cloud course before mine, but there isn't.

It's an option that we give them the year before too preparing them. It'd be great if there was a Cloud course before DevOps course.

Prepare students with previous courses. Prepare students with previous courses that teach related DevOps concepts. cloud; requisite; discipline; curriculum; syllabus; mandatory; prerequisite"
122,"so I don't care if you using windows or using Mac or whatever you're using. We're all going to learn a bunch of Linux and we're going to deploy all our stuff, using a bunch of it and use all the tools in a bunch of.",Use Linux operational system.,,Linux operational system,tool / technology,no,1,linux; operational system; tool; technology; automation,"so I don't care if you using windows or using Mac or whatever you're using. We're all going to learn a bunch of Linux and we're going to deploy all our stuff, using a bunch of it and use all the tools in a bunch of. Use Linux operational system.  linux; operational system; tool; technology; automation"
