Challenge,Interview Quotes,Abstracts,Main Idea,Code,Theme,Specific,Amount of Interviews,Tags,AllText
56,"A big challenge is students learning to be, um, to be agile working as a team pair programming. 

Lot of those concepts are hard to teach in a classroom setting.

That's kind of challenging getting them to be agile, getting them to think agile, get into think minimum viable product, right.

How do you work in sprints? ","It is difficult to students learning agile techniques like pair programming.

A lot of agile concepts are hard to teach in a classroom setting.

It's challenging the students to be and to think agile into mininum viable product.

It is difficult how to organize each sprint.",It is difficult to teach agile techniques.,difficulty in agile techniques,devops concepts,no,2,agile; pair programming; spring; minimum viable product; mvp,"A big challenge is students learning to be, um, to be agile working as a team pair programming. 

Lot of those concepts are hard to teach in a classroom setting.

That's kind of challenging getting them to be agile, getting them to think agile, get into think minimum viable product, right.

How do you work in sprints?  It is difficult to students learning agile techniques like pair programming.

A lot of agile concepts are hard to teach in a classroom setting.

It's challenging the students to be and to think agile into mininum viable product.

It is difficult how to organize each sprint. It is difficult to teach agile techniques. agile; pair programming; spring; minimum viable product; mvp"
57,"Are they following the process? Not, did they get the work done in the end? That's not the important part is did they learn the process and follow it? And did they learn from it? So that's, it's kind of challenging.",It is challeging to verify if the students learn the devops process of working.,,difficulty in the evaluation of students learn level,assessment,yes,1,assessment; process; technique; evaluation,"Are they following the process? Not, did they get the work done in the end? That's not the important part is did they learn the process and follow it? And did they learn from it? So that's, it's kind of challenging. It is challeging to verify if the students learn the devops process of working.  assessment; process; technique; evaluation"
58,Doing a hands-on class with that many (45) students is just physically challenging.,Doing a hands-on class with that many (45) students is just physically challenging.,,Difficulty in hands-on classes with 45 or more students,strategies in course execution,no,1,hands-on; lab; strategy; execution,Doing a hands-on class with that many (45) students is just physically challenging. Doing a hands-on class with that many (45) students is just physically challenging.  hands-on; lab; strategy; execution
59,"You have a clean compile, you've tested your code and it meets the functional requirements. And that's the end of the story. But as we know, you know, even from software development,[...] it doesn't end once the software is built and once it's passed testing, then it goes into this entire operational stage. We tend to ignore it. And I don't think we ignore it deliberately. We ignore it because it's hard",Teach operational activities is ignored because it is hard.,,operational activities ignored,environment setup,yes,1,operation; activity; environment; setup,"You have a clean compile, you've tested your code and it meets the functional requirements. And that's the end of the story. But as we know, you know, even from software development,[...] it doesn't end once the software is built and once it's passed testing, then it goes into this entire operational stage. We tend to ignore it. And I don't think we ignore it deliberately. We ignore it because it's hard Teach operational activities is ignored because it is hard.  operation; activity; environment; setup"
60,That is a lot of the devops principles that come into play. ,Many devops concepts need to be taught.,,many devops concepts,devops concepts,yes,1,concept; theory,That is a lot of the devops principles that come into play.  Many devops concepts need to be taught.  concept; theory
61,It is very dangerous to teach too many tools because it's simply conveys that it is a very technology centric approach.,It is very dangerous to teach too many tools because it conveys that DevOps is a very technology centric approach.,,Dangerous of teaching too many tools,tool / technology,yes,1,tool; technology; automation,It is very dangerous to teach too many tools because it's simply conveys that it is a very technology centric approach. It is very dangerous to teach too many tools because it conveys that DevOps is a very technology centric approach.  tool; technology; automation
62,"A lot of the folks who are attending the course are not at a level in the organization where they can actually affect culture [...] they are usually technologists and so they can very easily understand how they can affect things like technology decisions and the application of technology. But many of them are not, let's say at manager or director or senior director VP levels or things like that will, they can actually affect more senior levels of challenge there.",Students are not at a level in the their companies where they can introduce DevOps mindset.,,DevOps students without sufficient level at their companies,devops concepts,yes,1,industry; mindset; knowledge; level; hierarchy,"A lot of the folks who are attending the course are not at a level in the organization where they can actually affect culture [...] they are usually technologists and so they can very easily understand how they can affect things like technology decisions and the application of technology. But many of them are not, let's say at manager or director or senior director VP levels or things like that will, they can actually affect more senior levels of challenge there. Students are not at a level in the their companies where they can introduce DevOps mindset.  industry; mindset; knowledge; level; hierarchy"
63,"It can be a little harder garner garnering some of that same thing from, from industry, you know, unless you happen to find reasonably wit reasonably written, uh, white papers or, or things along those lines.",It is hard to find strategies from industry unless if it written in a paper.,,few industry strategies unless papers,class preparation,no,1,industry; strategy; material; paper; report; preparation; approach; scenario; story,"It can be a little harder garner garnering some of that same thing from, from industry, you know, unless you happen to find reasonably wit reasonably written, uh, white papers or, or things along those lines. It is hard to find strategies from industry unless if it written in a paper.  industry; strategy; material; paper; report; preparation; approach; scenario; story"
64,"I have tended to get much more forgiving on how I, for example, grade this particular course, I used to be one of those folks. You know, you, you do the assignment and then you get a grade for the assignment. And at the end of the day, and this is not just devops it's it's for other courses as well. At the end of the day, I'm way more concerned. They're able to get stuff working and that you understand why we're doing it.",Task done by students do not means that students learned correctly.,,Without correlation between task done and learned correctly,assessment,no,1,task; learning; assessment; mission; evaluation,"I have tended to get much more forgiving on how I, for example, grade this particular course, I used to be one of those folks. You know, you, you do the assignment and then you get a grade for the assignment. And at the end of the day, and this is not just devops it's it's for other courses as well. At the end of the day, I'm way more concerned. They're able to get stuff working and that you understand why we're doing it. Task done by students do not means that students learned correctly.  task; learning; assessment; mission; evaluation"
65,"The challenge of course, is newer students obviously have more than enough to worry about just getting code wrong and compile. Uh, but that's, that's the reality, unfortunately, is the code just doesn't run a compile on a laptop, right? It runs out in production and it's serving real people. And in this day and age, there is, there is stuff that goes with that. And the more folks understand, at least some of the sooner, the better I hope the software will be.","It is difficult for students to understand the importance the software running in production, not just compiling.",,difficulty for understand the importance of a correct software over just compiling,devops concepts,no,1,production; running; software; understanding,"The challenge of course, is newer students obviously have more than enough to worry about just getting code wrong and compile. Uh, but that's, that's the reality, unfortunately, is the code just doesn't run a compile on a laptop, right? It runs out in production and it's serving real people. And in this day and age, there is, there is stuff that goes with that. And the more folks understand, at least some of the sooner, the better I hope the software will be. It is difficult for students to understand the importance the software running in production, not just compiling.  production; running; software; understanding"
66,"Human challenges are when you start teaching DevOps, it doesn't look serious.

So one of the challenges regarding the culture, if you want, is that when you tell them that initially they don't believe it. And only when they start doing it, they do believe it. 

Whatever they found it valuable usually, um, after the class is done at the end of the year, they don't always see the value. It's the kind of class where you want them to know this stuff, because once they will be in the industry, they'll need it every day. Um, but they don't know they need it every day. 

An undergrad program, it's also something complicated because it's teaching at the undergrad program might make sense, but then it's other kinds of challenges like younger students who might not be interested in this.","When you start teaching DevOps, it doesn't look relevant.

Students only believe the importance of DevOps mindset when they experiment in the practice.

Students do not know that they will need DevOps concepts at industry every day.

Young undergraduate students can have no interest in DevOps course.",DevOps course doesn't look relevant for undergratuate students when you start teaching.,students without motivation in DevOps course,strategies in course execution,yes,2,motivation; mindset; strategy; execution,"Human challenges are when you start teaching DevOps, it doesn't look serious.

So one of the challenges regarding the culture, if you want, is that when you tell them that initially they don't believe it. And only when they start doing it, they do believe it. 

Whatever they found it valuable usually, um, after the class is done at the end of the year, they don't always see the value. It's the kind of class where you want them to know this stuff, because once they will be in the industry, they'll need it every day. Um, but they don't know they need it every day. 

An undergrad program, it's also something complicated because it's teaching at the undergrad program might make sense, but then it's other kinds of challenges like younger students who might not be interested in this. When you start teaching DevOps, it doesn't look relevant.

Students only believe the importance of DevOps mindset when they experiment in the practice.

Students do not know that they will need DevOps concepts at industry every day.

Young undergraduate students can have no interest in DevOps course. DevOps course doesn't look relevant for undergratuate students when you start teaching. motivation; mindset; strategy; execution"
67,"When you do continuous integration, you need to have a logical base. You need to have a lot of people committing in the code changes often. Um, you need to have a lot of machines. You have the machines where people are coding. You have the machines that are building, you have the machines that are the way you run your database. You have the machines where you deploy to. ... you need a lot of machines interconnected, um, with visibility on each other that they can get to.",You need a lot of interconnected machines running different services with visibility on each other to do continous deployment.,,Continous deployment require a lot of interconnected machines running different services with visibility to each other,environment setup,yes,1,continuous deployment; service; integration; interconnection; cd; environment; setup; gradual; combination; continuous deployment,"When you do continuous integration, you need to have a logical base. You need to have a lot of people committing in the code changes often. Um, you need to have a lot of machines. You have the machines where people are coding. You have the machines that are building, you have the machines that are the way you run your database. You have the machines where you deploy to. ... you need a lot of machines interconnected, um, with visibility on each other that they can get to. You need a lot of interconnected machines running different services with visibility on each other to do continous deployment.  continuous deployment; service; integration; interconnection; cd; environment; setup; gradual; combination; continuous deployment"
68,"Uh, so that's a practical challenge that when you want to put it in place, and as a teacher, you want to be able to log into all of those machines to see what they're doing.",It's hard to supervise students' work when you use a lot of virtual machines.,,difficulty in the supervision of students work with a lot of virtual machines,strategies in course execution,no,1,virtual machine; vm; supervision; monitoring; strategy; execution,"Uh, so that's a practical challenge that when you want to put it in place, and as a teacher, you want to be able to log into all of those machines to see what they're doing. It's hard to supervise students' work when you use a lot of virtual machines.  virtual machine; vm; supervision; monitoring; strategy; execution"
69,"It's hard for them to see all the values, layers of source side, real shoes, deployment side. They have a tendency because the students write code clicky works done, right? And it's hard to teach them that no wanting code somewhere.",It's hard for students to see the values of deployment side and they don't want to do operational activities.,,difficulty in students understanding about deployment side without the knowledge of operational activities,devops concepts,yes,1,deployment; understanding; operation,"It's hard for them to see all the values, layers of source side, real shoes, deployment side. They have a tendency because the students write code clicky works done, right? And it's hard to teach them that no wanting code somewhere. It's hard for students to see the values of deployment side and they don't want to do operational activities.  deployment; understanding; operation"
70,"What is hard is to be prepared with, um, a technology stack that is robust and simple or very simple so that you know exactly what you look when you help them debug.",It is hard to prepare a robust and simple technology stack.,,Hard preparation of simple and robust technologies,tool / technology,no,1,technology; stack; automation; tool,"What is hard is to be prepared with, um, a technology stack that is robust and simple or very simple so that you know exactly what you look when you help them debug. It is hard to prepare a robust and simple technology stack.  technology; stack; automation; tool"
71,"It's mostly the preparation of the exercise that is demanding.

That's one of the challenge that I find in preparing proper courses, finding and implementing an application, creating some issues in it, some bugs in it.","The preparation of the exercise is demanding.

It is laborious to prepare the exercise that the students will work.",The preparation of the exercise is demanding.,laborious exercise preparation,class preparation,yes,2,exercise; preparation,"It's mostly the preparation of the exercise that is demanding.

That's one of the challenge that I find in preparing proper courses, finding and implementing an application, creating some issues in it, some bugs in it. The preparation of the exercise is demanding.

It is laborious to prepare the exercise that the students will work. The preparation of the exercise is demanding. exercise; preparation"
72,"Um, but then the preparation for the class itself was a concept class. That's, I've done that. Um, and then adjust, but it's no more difficult than any other class. It depends what you know, and what you do as a job. Right? And that's part of my job to do it. So I feel comfortable",Teach DevOps requires much knowledge from the professor who could not be familiar with it.,,requirement of teaching a lot of DevOps knowledge from the professor perspective,class preparation,yes,1,knowledge; level; teaching; training; preparation; learning,"Um, but then the preparation for the class itself was a concept class. That's, I've done that. Um, and then adjust, but it's no more difficult than any other class. It depends what you know, and what you do as a job. Right? And that's part of my job to do it. So I feel comfortable Teach DevOps requires much knowledge from the professor who could not be familiar with it.  knowledge; level; teaching; training; preparation; learning"
73,"I check out the code of every group. And I look at the commits who has done what I look at. How has it been coded, easy to blatant copy paste of somebody else's code? Is it innovative? I run all the scripts. I ask them to provide me with scripts that are portable, that will run on my computer. Um, and there has to be a bill script or run script, uh, scenario, script, et cetera. And I run them on my computer. It takes four it's very long. Uh, but it's an effective way of checking what they've done.",It is arduous to analyse the code and run scripts for each project.,,arduous analysis for each project,assessment,no,1,coding; script; project; analyse; assessment; activity; task; evaluation; exercise,"I check out the code of every group. And I look at the commits who has done what I look at. How has it been coded, easy to blatant copy paste of somebody else's code? Is it innovative? I run all the scripts. I ask them to provide me with scripts that are portable, that will run on my computer. Um, and there has to be a bill script or run script, uh, scenario, script, et cetera. And I run them on my computer. It takes four it's very long. Uh, but it's an effective way of checking what they've done. It is arduous to analyse the code and run scripts for each project.  coding; script; project; analyse; assessment; activity; task; evaluation; exercise"
74,"We show them Kubernetes, um, but they don't really have time to practice on Kubernetes.",They don't have time to practice on Kubernetes because it is lot of work.,,without time to practice Kubernetes,curriculum,yes,1,time; practice; kubernetes; curriculum; syllabus; schedule,"We show them Kubernetes, um, but they don't really have time to practice on Kubernetes. They don't have time to practice on Kubernetes because it is lot of work.  time; practice; kubernetes; curriculum; syllabus; schedule"
75,"And as I said, we, students are doing other things. So this means we are limited in what we can ask them.",There is a limitation of what is appropriate to ask the students because they are doing a lot of other activities.,,limitation of about professor´s asks due many activities,strategies in course execution,no,1,activity; limitation; time; exercise; task; restriction; mission; strategy; execution,"And as I said, we, students are doing other things. So this means we are limited in what we can ask them. There is a limitation of what is appropriate to ask the students because they are doing a lot of other activities.  activity; limitation; time; exercise; task; restriction; mission; strategy; execution"
76,"For us as educators, we need to find a way where we can make it interesting.

You can make the lectures more interactive, but to make the lecture attractive students have to willing to interact. Right. Which is very difficult to do.","Make a DevOps course attractive to the students is challenging.

Make the lectures attractive is difficult.",Make a DevOps course attractive to the students is challenging.,Challenge of creation of an attractive DevOps course,class preparation,yes,2,lecture; motivation; course,"For us as educators, we need to find a way where we can make it interesting.

You can make the lectures more interactive, but to make the lecture attractive students have to willing to interact. Right. Which is very difficult to do. Make a DevOps course attractive to the students is challenging.

Make the lectures attractive is difficult. Make a DevOps course attractive to the students is challenging. lecture; motivation; course"
77,"The biggest challenge is this, like, what goes in, you know? People do lots of things in the DevOps Pipeline these days, which doesn't necessarily go into a DevOps course, right?

I would say at the end of the fall, or maybe at the beginning of 2019, we started to plan this course. And for the longest time I was really questioning myself. Like, what do you teach in a DevOps course?

Now we're questioning ourselves. What else did we bring in? We may add some things about a bit of telemetry. So they have a bit of telemetry because they have lives, but we put some emphasis on it.","There is no convention as to what are the main DevOps concepts that should be taught.

It's difficult to decide what will be taught in a DevOps course.

Hard to decide whether to teach telemetry or not.",There is no convention as to what are the main DevOps concepts that should be taught.,no convention about DevOps course curriculum,curriculum,yes,2,convention; curriculum; concept; telemetry; theory; principle; criteria; standard; syllabus; model,"The biggest challenge is this, like, what goes in, you know? People do lots of things in the DevOps Pipeline these days, which doesn't necessarily go into a DevOps course, right?

I would say at the end of the fall, or maybe at the beginning of 2019, we started to plan this course. And for the longest time I was really questioning myself. Like, what do you teach in a DevOps course?

Now we're questioning ourselves. What else did we bring in? We may add some things about a bit of telemetry. So they have a bit of telemetry because they have lives, but we put some emphasis on it. There is no convention as to what are the main DevOps concepts that should be taught.

It's difficult to decide what will be taught in a DevOps course.

Hard to decide whether to teach telemetry or not. There is no convention as to what are the main DevOps concepts that should be taught. convention; curriculum; concept; telemetry; theory; principle; criteria; standard; syllabus; model"
78,"The, the overall context will change the process they use will have to change, to adapt, to become better, to, to stay at the top too, you know, they have to, so they have to recognize first that technologies will change, but the foundation, the fundamentals will remain,","It's hard to make clear to students and make them understand the fact that technologies will change with time, but the fundamentals will remain.",,Students' understanding of the importance of DevOps concepts over the tools,devops concepts,no,1,concept; mindset; tool; technology; understanding; theory,"The, the overall context will change the process they use will have to change, to adapt, to become better, to, to stay at the top too, you know, they have to, so they have to recognize first that technologies will change, but the foundation, the fundamentals will remain, It's hard to make clear to students and make them understand the fact that technologies will change with time, but the fundamentals will remain.  concept; mindset; tool; technology; understanding; theory"
79,"JIRA is quite difficult to use in industry context, um, just because of the license model then. So it's, it's too complex.",It's difficult to use Jira lifecycle management tool because of its licence model.,,arduous manage of Jira lifecycles licence,tool / technology,no,1,jira; licence; management; tool; technology; automation; organization,"JIRA is quite difficult to use in industry context, um, just because of the license model then. So it's, it's too complex. It's difficult to use Jira lifecycle management tool because of its licence model.  jira; licence; management; tool; technology; automation; organization"
80,So one of the challenge from an environment point of view is to get something that students can relate to.,"It's hard to find something students can relate to, from a environment point of view.",,difficulty students in relationship with an environment point of view,strategies in course execution,no,1,environment; relation; strategy; execution,"So one of the challenge from an environment point of view is to get something that students can relate to. It's hard to find something students can relate to, from a environment point of view.  environment; relation; strategy; execution"
81,We hear from our industrial partners and from industry in general is there's this HUGE gap right? Between what the industry needs and what university provides.,There is a lack between what the industry wants from students about DevOps and what the university teaches.,,difference between industry desire about student knowledge of DevOps and DevOps academic teaching,curriculum,yes,1,industry; university; concept; curriculum; academy; syllabus,We hear from our industrial partners and from industry in general is there's this HUGE gap right? Between what the industry needs and what university provides. There is a lack between what the industry wants from students about DevOps and what the university teaches.  industry; university; concept; curriculum; academy; syllabus
82,"It didn't work for some specific tools that they wanted to present using this a katacoda, uh, website.",Katacoda does not work for some specific tools.,,spacific tools do not woth with katacoda,tool / technology,no,1,katacoda; tool; technology; automation,"It didn't work for some specific tools that they wanted to present using this a katacoda, uh, website. Katacoda does not work for some specific tools.  katacoda; tool; technology; automation"
83,"Since the students were free to use any technology and present it ...  it was hard to stay as objective as possible and to have, uh, have the same criteria and metric for, uh, scoring different students, because someone was working on this project, someone was working on that project.",It was hard to have the same criteria and metric for scoring different students because they were free to use any technology and present it.,,challenging evaluation with the same criteria a classroom with different technologies,assessment,no,1,criteria; metric; score; assessment; freedom; technology; stack; flexibility; tool; automation; evaluation; standard; grade,"Since the students were free to use any technology and present it ...  it was hard to stay as objective as possible and to have, uh, have the same criteria and metric for, uh, scoring different students, because someone was working on this project, someone was working on that project. It was hard to have the same criteria and metric for scoring different students because they were free to use any technology and present it.  criteria; metric; score; assessment; freedom; technology; stack; flexibility; tool; automation; evaluation; standard; grade"
84,"It was a bit risk because if they had contributed to something that, uh, that the developers didn't merge they wouldn't get, uh, get the score.",The students wouldn't get the score if they had contributed to some open source project that the developers didn't merge on github.,,student scores based on Github commit approval,assessment,no,1,score; open source; project; merge; github; assessment; activity; task; mission; evaluation; exercise; grade,"It was a bit risk because if they had contributed to something that, uh, that the developers didn't merge they wouldn't get, uh, get the score. The students wouldn't get the score if they had contributed to some open source project that the developers didn't merge on github.  score; open source; project; merge; github; assessment; activity; task; mission; evaluation; exercise; grade"
85,"How this practitioner really works, because if you're not doing this, then you will stay at a very technical level. Like you deploy a pipeline and you're doing DevOps, which is absolutely not the case. And that's absolutely not the, uh, understanding of what DevOps is.",It is difficult to students understand how the pipeline deployment works and not just running it.,,how pipeline deployment works,devops concepts,yes,1,pipeline; deployment; understanding; running,"How this practitioner really works, because if you're not doing this, then you will stay at a very technical level. Like you deploy a pipeline and you're doing DevOps, which is absolutely not the case. And that's absolutely not the, uh, understanding of what DevOps is. It is difficult to students understand how the pipeline deployment works and not just running it.  pipeline; deployment; understanding; running"
86,"We try to use, um, like remote services to relieve the burden of setup saying that, okay, you're going to use Jenkins on the cloud. Then you're going to use, we have this partnership with IBM. So we're using to use the bluemix platform from, uh, IBM that was supporting this kind of thing, um, disaster, because in the end it was really complicated to debug what was happening because you don't have the access go on the what's happening.

I think that that's one of the course that costed me the most in terms of, uh, frustrating time I've spent, uh, debugging lab sessions, ","Using remote services is really complicated to debug because you don't have the access on the what's happening.

Debugging lab sessions are frustating.",Debugging lab sessions are very difficult.,difficulty in debugging of lab sessions,environment setup,yes,1,debug; lab; remote; service; environment; setup,"We try to use, um, like remote services to relieve the burden of setup saying that, okay, you're going to use Jenkins on the cloud. Then you're going to use, we have this partnership with IBM. So we're using to use the bluemix platform from, uh, IBM that was supporting this kind of thing, um, disaster, because in the end it was really complicated to debug what was happening because you don't have the access go on the what's happening.

I think that that's one of the course that costed me the most in terms of, uh, frustrating time I've spent, uh, debugging lab sessions,  Using remote services is really complicated to debug because you don't have the access on the what's happening.

Debugging lab sessions are frustating. Debugging lab sessions are very difficult. debug; lab; remote; service; environment; setup"
87,"Your Bamboo continuous to, uh, integration will just collapse because there's way too much students. My cohorts were 120 students a year. So when you have 120 students who all try to start their pipeline at the very same time, uh, in the last two days, and it's just a catastrophe and I mean, this thing will always happen.",Bamboo continuous integration does not work with 120 students running pipeline at the same time.,,problems with a lot of pipelines in Bambo,tool / technology,yes,1,bamboo; continuous integration; pipeline; tool; technology; automation; gradual; ci,"Your Bamboo continuous to, uh, integration will just collapse because there's way too much students. My cohorts were 120 students a year. So when you have 120 students who all try to start their pipeline at the very same time, uh, in the last two days, and it's just a catastrophe and I mean, this thing will always happen. Bamboo continuous integration does not work with 120 students running pipeline at the same time.  bamboo; continuous integration; pipeline; tool; technology; automation; gradual; ci"
88,"He grade scale was half description, half justification, and that's helped a lot, but it's always, um, qualitative in this way. It's, it's, it's really difficult to be quantitative and to have this, uh, uh, grade scale that is by the, uh, by the point.",It is really difficult to quantitative grade scale on the description and the justification of case studies.,,quantitative grade scale on description and case study,assessment,no,1,grade; scale; quantitative; case study; justification; assessment; answer; solution; evaluation; score; description; demonstration,"He grade scale was half description, half justification, and that's helped a lot, but it's always, um, qualitative in this way. It's, it's, it's really difficult to be quantitative and to have this, uh, uh, grade scale that is by the, uh, by the point. It is really difficult to quantitative grade scale on the description and the justification of case studies.  grade; scale; quantitative; case study; justification; assessment; answer; solution; evaluation; score; description; demonstration"
90,"Like, do you have to go through this course to if you're doing a master or a bachelor in software engineering, is it mandatory to go through DevOps or is it like an option that an optional path that you're following is this kind of, uh, there is no consensus on, on those kinds of, um, uh, things.",There is no consensus if DevOps course should be mandatory or optional.,,no consensual about DevOps discipline mandatory,curriculum,yes,1,mandatory; optional; course; curriculum; syllabus; prerequisite; requisite,"Like, do you have to go through this course to if you're doing a master or a bachelor in software engineering, is it mandatory to go through DevOps or is it like an option that an optional path that you're following is this kind of, uh, there is no consensus on, on those kinds of, um, uh, things. There is no consensus if DevOps course should be mandatory or optional.  mandatory; optional; course; curriculum; syllabus; prerequisite; requisite"
