Interview,Recommendation,Interview Quotes,Abstracts
9,138,"I'm starting to do is to just build out images, for example, that contain everything that I want them to have. Uh, and that way I can tell them to spin up a virtual machine. ",Use imagens that contain everything that the teacher wants to teach to clone virtual machines.
9,139,"I use GitHub and they have options for professors, you know, for academic use, where you can set up these GitHub classrooms. I use those constantly, um, and they work very, very well because again, I can kind of control who gets what I can see, everything I can help individuals through things works great.",Use Github for academic use where you can set up GitHub classrooms.
9,140,"I will pick one, usually one, although I'll usually compare and contrast against a couple of others, something in the around of automated builds.",Compare and contrast the tools before to choice.
9,141,"I try to use cloud providers, you know, kind of cloud SAS providers for that sort of thing, because I don't want people to spend a lot of time getting the stuff stood up.",Use cloud SAS providers to avoid spending a lot of time installations and configurations.
9,142,"I tend to focus on gradle, but I also will link that to say a comparison against Maven and ant to provide some context for how we got here, why we got here",Show the evolution of the tools like exposing from ant and maven to gradle tool in build managment.
9,143,"I'm having conversations with the university about trying to take the devops course and essentially converting it to a three course sequence one for agile, one for kind of the dev part of devops and one for the ops part of devops.",separate the dev and ops part into different courses.
9,144,"And that level of what you're trying to do is to build a business case for why you want that at all. And now you're starting to get a little bit around of the computer science and into around of business and being able to tie those two things together in such a way that you can sell it to an organization that would have to spend resources, people, time, energy, money, building out that kind of a technical pipeline, right? 
 ... you have to somehow sell them on why you should spend your sources doing that versus building a new feature or adding a new product or any one of a number of other competing priorities that the business has.","Teach students to know how to sell DevOps benefits to their directors who are from the business area. For example, pipeline reduce developers work time and save money. You can also build a new feature or add a new product that the business has."
9,145,"I don't think the basic skeleton of the class has really changed significantly, maybe a few places, but over the last two or three years, the, the basic structure, the scaffolding I think has held fairly true where we focus on some devops principles. We focus on concepts. We focus on goals.",The basic skeleton of the class does not change significantly because we focus on concepts and we focus on goals.
9,146,So I try to give folks one or two small projects.,Specify what projects the students will work and provide one or two small projects.
10,146,"We will also build a sample, which is on github. I'll send you the link. If you want. We build a sample that is called a cookie factory. Um, it's, it's a system to handle a cookie factory where you can order cookie pay for them, and you get a shopping cart with cookies, et cetera, right? So it's just a small sample.",Use small projects with students.
12,146,"We have built a little simulator that is quite simple, but that's easy to traverse the whole, essentially the main phases of DevOps.",Use a simple application to walk through all DevOps concepts.
9,147,"I will try to provide, uh, some kind of, of jump-starting as far as people learning at technology. So for example, here's commonly used commands. Here's why you use them. Here's how you use them.",Provide jump-starting examples of commonly used commands of tools.
9,148,"So being a little bit more forgiving, a lot of the tools that we're using are brand new. For many people, getting them all to work together can be particularly challenging. And so making it a little less stressful, uh, can be helpful.","Be a little bit more forgivable, understanding that for some people getting all the brand new technologies to work together can be really hard, so make it less stressful"
9,149,"Our particular curriculum tends to allow out of, some degree of necessity and amount of interest based learning. You know, I care about software architecture. And so that's where I want to focus.",Our curriculum allows some degree of freedom according to the teacher's preferences.
10,150,"We let the students build only one project, one code base, which is evaluated both on the standpoint of the architecture. ... but also from the angle of continuous integration, do they include build plan?",Evaluate the single project of the students on the standpoint of the architecture and also from the angle of continuous integration.
10,151,"So we built a curriculum in just very innovative way, the two classes together, a single project, a single teaching team, but we evaluate on two angles.","Built a curriculum with DevOps and Software Architecture classes together, a single project, a single teaching team, but we evaluate on two angles."
14,151,"The course about, uh, software architecture and DevOps, or we're talking about a different way of architecting software, um, mainly distributed system, because it was easier for the DevOps parts who were triggered challenges was a distributed system.  ... And they had one, one lecture in the morning lecture slash lab and one lecture slash lab in the afternoon. And they were really like Friday was dedicated to DevOps slash uh, architecture.",The courses of software architecture and DevOps taught in the same day.
10,152,"And then another team uses in a 13 deploys to environment that the first team cannot get to because it's a production environment that the coder will not get access to it. So in real life, you have different teams of people that talk only through some channels.",Show the operational constraints to students like coder will not get access to production environment.
10,153,"And then as we go into more concept, like what is Jenkins and what is Artifactory and what is Docker, then we can go back on those things.","Study the tools more when you go into the concepts. For example, deep Docker when you teach containers."
10,154,what helps is to build something that is portable and something that can be broken down into several pieces where one student runs one bit and then another students runs the rest. It's also good because it forces them to work as a group.,Build something that is portable and something that can be broken down into several pieces where one student runs one bit and then another students runs the rest.
10,155,"In this year, if you do that, it's too early and it's going to be too hard for you as a teacher to, to know what's going on. So by forcing the technology stack and telling them.

I mean, they're free to do what they want from a functional standpoint in the project.

But from a tools and technology, we force just on them to avoid too many variation between the groups.","Force students to use technology stack used on course.

It is necessary to give freedom to student develop their functional solution.

We force tools and tecnology and alert them to avoid too many variation between the groups."
11,155,"We use a very specific language. This is to just make it easy. I mean, sometimes we give it a bit too flexible. So right now we use a Java and Javascript because we are targeting web application. But, uh, when we students are implementing, uh, new features, so we give them the flexibility. We say, okay, parents, if you want to implement in Python, you can do it as long as you can wrap it in, uh, integrated in the new code.

We give some kind of rough summary of what the application is supposed to do.","It is important to give flexibility to students to develop their solution although some things are determined.

Give students a rough summary of what their application are supposed to do."
10,156,"Go gradually. Um, so tha t,that was part of my strategy. The other thing is I've built a few, what I called a, um, whiteboard free session. So I go something like every week we have half a day, one hour of, uh, formal teaching. And then two hours exercise and we do that for like three weeks in a row. [...] So I do like three classrooms, one free session inspired by what they fail on and I continue.
",Build whiteboard free sessions inspired by what students have failed and the two hours exercise.
10,157,"We've done live presentation, where they have something that 20 minutes to describe the architecture, to describe their build strategy, that test strategy and demonstrate it on the screen. Um, and that is evaluated by a jury of one representative from the software architecture class and one representative from the DevOps class.","The students have something that 20 minutes to describe the architecture of the project, to describe their build strategy, that test strategy and demonstrate it on the screen. That is evaluated by a jury of one representative from the software architecture class and one representative from the DevOps class."
13,157,"Students have to choose some topic and say, okay, we want to do a presentation on this topic. And that topic can be anything related to DevOps.

Everyone who wanted to present a tool or to do a demo or anything else they could give, uh, get some feedback from other students.","Make students prepare a presentation about topics related to DevOps.

Students can present a tool or do a demo to get some feedback from others during the classes."
10,158," we also do two evaluations, one in the middle and one at the end. So the one in the middle, we call it MVP evaluation. And we tell them, at this point, you should have reached an MVP, which is basically a walking skeleton for your code. We don't care if when you call the API, the only code of the API is return true, or which are 12, but we care that you have the components in place. You can build them independently and they can talk to each other. Right? So at this, we validate that your componentization and your architecture is good even before you start building algorithms and the functional code. Um, so we do that and that's, again, that's to catch early, um, architecture mistakes.
",Use MVP (Minimum viable product) evaluation to validate components of the project. Make an evaluation in the middle and the final course.
10,159,"we also have a lot of evaluation during the exercise. When group after group, where we, we give them flags if week green, yellow, or red, based on where we think they are, uh, regarding the objectives.","Do many evaluations of students project along with the discipline. Use green, yellow or red flags to evaluate the group."
10,160,"we cannot make assumption on what they know. So we're trying to work without any assumption.
",Do not make assumption about the learning level of the students when you have students with different levels.
10,161,We show them Kubernetes.,Kubernetes can be chosen as DevOps tool.
14,161,"Let's go for something that we have more control on, uh, using for tools like Jenkins and and a stuff like Docker or Kubernetes was kind of good in a way to, uh, support the deployment and the, uh, like the building plus deployment stuff.

I want to be able to deploy it with containers. So it can be, um, through Kubernetes, it can be through Docker.","Use tools like Kubernetes to have more control on support the deployment.

Uses Kubernetes as container deployment tool adopted by the course."
11,162,"I covered it is a few lectures, like on, on DevOps and, um, which look at DevOps from a kind of generic perspective, like introducing the concept of DevOps and the challenges related to DevOps and, and, and so on. And then introducing them some of the basic tools, like for instance, so using things like continuous integration tools, like Jenkins SIM swollen. And, uh, so I tried to introduce, uh, between maybe spending about a couple of weeks doing that, like the course was about 12 weeks. And so in Zen App there, I focus more on specialized issues. So we spent some time on performance and scalability testing and things like the good testing and so on.","Start with a generic perspective of DevOps, basic concepts, and after a few weeks start to focus on specialized issues."
11,163,"what I do is that after introducing a concept and so on, I started really looking at very specific issues ... so in the lab we students learn, uh, in our, to be able to, for instance, to create a pipeline currency, DevOps pipeline, and, and, um, very, uh, set up A B tests, create test cases and do automated test, uh, test automation.","Introduce a concept and do labs with creating DevOps pipeline, setup A/B tests, and automated tests."
11,164,"The students have to do in the projects is to start by coming up with the requirements of the obvious application, and then start setting up their own environment and provide some additional functionalities that we want to implement.",Students start setting up their own DevOps environment and provide additional feature using simple application in the project.
12,164," So they have set up their environment.

The second one is to, we give them an application. It's an actually an HVAC humidity, air conditioning and ventilation, um, and they don't develop the application, but they have to build the pipeline to support this existing application.","Let students setup their environment for themselves.

Give students an application that they have to build the pipeline to support it."
11,165,"Also making the project interesting is important because it, you can, it's very easy when you are teaching to just take a very small project, which is not very, uh, challenging in all with students.
",The project of the class should not be very small and must be challenging.
11,166,for exam can be to use an open source application that we can use,For exam can be to use an open source application that we can use.
11,167,we use also SonarQube to help us on the automation,Use SonarQube to help on the automation.
11,168,for performance testing we use JMeter,Use JMeter for performance testing.
11,169,"we also security platform like, uh, Zap",Use OWASP Zap as security platform.
11,170,"So in terms of the tools, I feel better. I think one of the good aspect in DevOps is that there are a lot of tools [...] DevOps tools are available and where a lot of them are free and some of them are conscious of those. So a lot of them are free. And, and then, so, so far, I think it has been good.",There are many free DevOps tools available.
11,171,"Quite often, what we do is have someone in our team to implement the application.",Someone from teacher staff implements the sample application.
11,172,"So in the course I split, but so about 80% of presentation is just a regular, uh, concepts and so on and about 20% is about concrete applications.

 And so if we can find a way to be able to, to compress the experience or expertise in the practical experience and expertise in the context of lectures and so on.","Divide the course into 80% of concepts and 20% of applications.

Conciliate the experience in labs and the context of lectures."
11,173,"We presented as a lab project [...] So the students start initially by defining the requirements and then after they start a secondary pipeline, and then they do at least a couple of weeks iterations cycle and develop cycle. And then after they go to do performance testing to do a security testing and all those kinds of things, and for each of these deliverables, we submit something, every report. And, and, uh, so that's very easy to map because it's a very practical.","We presented as a lab project with five deliverables. The students start by defining the requirements and then after they start a secondary pipeline, and then they do at least a couple of weeks iterations cycle and develop cycle. And then after they go to do performance testing to do a security testing, and for each of these deliverables, we submit something, every report."
12,175,"I had a different assistant for the labs who was the next student. So the first time, and the labs were quite well received.

If you have lab assistants that are, you know, good, it's pretty easy to manage.","Qualified teacher assistant is important to setup the labs.

It is good to have teacher assistants with labs."
12,176,"the unicorn [project book] who was just, just published last year is more about the Dev stuff, but it really brings it into the mindset of, of, okay, what are the issues concretely that we face.",The Unicorn project book is a novel which covers the Dev side issues of DevOps.
12,177,"The Phoenix project ...  it's written also by essentially Jean Kim ... , it's written as a novel ... you get into the, the life of people that are facing issues that's are essentially DevOps issues ... he Phoenix project is more about the Ops side of things.",The Phoenix book by Jean Kim is a novel that covers the Ops side of DevOps.
12,178,"I need very solid, uh, research. It's a sorry, a lab assistance. The people responsible for the labs of course, assistants that that can actually deal with the students. So I'm lucky to have students and have good industrial experience, uh, to do that.",The teacher assistants need to be very qualified.
12,179,"So I chose, um, tuleap, which is an open source that was missing in mainly DevOps in France.",Use Tuleap for lifecycle management.
12,180,We try to make it minimal,Try to make the environment setup minimal.
12,181,"initially we were relying the, uh, admin, uh, personnel in our department, not admin, sorry, the, the engineering, uh, the, yeah, the, the infrastructure, the people that are responsible for the labs and so on. And now, since all of the students have their laptop, we try to make it as industrial as possible in lightweight as possible. So we don't need any internal support. [...] You just need this use to create their, uh, GitHub accounts. And, uh, you have to register to be able to get some AWS, uh, credits so that you can share with the students, but it's quite, it's quite easy.",You do not need to worry about university infrastruture when the students have Github and AWS accounts and you make the environment as industrial as lightweight as possible in all of the students laptops.
12,183,"First define the objectives of your course and making sure you stick to it.

But with respect to the technologies, I think that knowledge is, will change [...] I think like one of the, uh, not too good to give it giving advices or, but I can share my experience and my thoughts. Um, I think that that's important to remember one thing as important as what is the objectives of your course. ","Define clearly the objectives of your course and make sure you stick to it.

Constantly remember the students about the objective of the course."
13,183,"I think if we lay the rooms, uh, maybe it's more clearly and more specifically, I think students, we know better what they will get from what they do. [...]
I think we will have, uh, we will, um, uh, rewrite some of the rules to make sure that, uh, students know how many points they get for what they do, uh, beforehand we should do it because, uh, it will not be perfect because students can choose many different things.",Make sure the students know the rules of the course. For example how many points they get for what they do.
12,184,"I give them two case studies, uh, so to see if they can analyze a given situation.",Give case studies to see if the students can analyze a given situation in the exams.
14,184,"Like theoretical exam point of view, we use the case studies. ... you have three hours explain what you do in this situation. ...  we were really grading half of the description and half of the justification.

He grade scale was half description, half justification, and that's helped a lot, but it's always, um, qualitative in this way.","We use the case studies in theoretical exam. Students have three hours to explain what they do in this situation. We were really grading half of the description and half of the justification.

It is helpful to use the description and the justification of case studies on qualitative grade scale."
12,185,"we use one of the topics in DevOps that becomes quite important is value stream mapping. So to be able to capture your process is pretty simple in terms of modeling as a flow of activities, value stream mapping is a technique that has been used for quite a long time and in production.",Be able to capture your DevOps process in terms of modeling as a flow of activities using value stream mapping technique.
12,186,"it's not an analysis course, but I tried to bring it back regularly and say, okay, if you want to improve a process, whether you do so, it's one of the, one of the section in the book. And so it's okay. [...] you go from there to identify the, the points that could be improved, right. And then how do you want to improve it, then the techniques that are described in the book?",constantly try to figure out how to improve the quality of the course
12,187,"I'm thinking of bringing a couple of, um, industrial speakers as well to share their experience.",Try to bring industrial speakers to share their experience.
13,187,"We can have people, uh, there, there are, uh, there are everywhere that we can invite and, uh, let the students know what is going on in practice, not just some, uh, theoretical, uh, problem.

The lectures were not, uh, were not presented by the teachers. They were presented by the people who are, who were from the industry and invited to the, uh, to the course to present something for students.","Invite people to show students what's going on in practice, not only in theoretical problems.

The lectures could be presented by people who were from the industry."
14,187,"I think the course we've built in France was successful because we've done it with a software architect from IBM or the guy who was building, um, like as part of his industrial practice, he was building huge, uh, systems.

You need to have people interacting with the students that are practitioners and that really, uh, well know their in a way.

So we thought we were doing right, but after having discussed with industrial partners and practitioners, like not just discussed, you know, conference or attending a meetup, like really discussing for hours.

To carefully select the, um, I, I have a lot of industrial, uh, practitioners, guest lectures. Uh, we, we, we had the one prof that wasn't industrial.

The bigger mistake I've made was to, uh, use a coach. Uh, and we invited him and the guy was, uh, setting himself running himself as a DevOps coach, but the guy just had written books and, uh, had no idea what he was talking about.","It is important to have industrial partnership to share skills to contribute to the course.

You need to have DevOps practitioners interacting with the students.

Discuss the course with industrial partners and practitioners.

You should be careful about selecting guest lectures. Prefer industrial practitioners.

Do not invite a DevOps coach to do DevOps lectures."
12,188,"So that, I think it's one of our job to, to, to communicate with the student that it's not about the buzzword, this is something extremely serious.","It's important to communicate with students that DevOps is not buzzword, it is extremely serious."
13,189,"Then do, um, do some research about it, write an essay or, uh, or if there is, um, there is a tool available, uh, on GitHub it's, if it's open source, they can contribute to that, uh, to that tool and maybe fix some issues and report it to the teachers.

Many of them did was to engage in the, uh, in the development process of the, uh, of the large projects that other people are working on. And, uh, they could choose a project, I think with more than a hundred stars. ...  And they had to make sure that they pass all the, uh, all the steps and they had to do some contributions, but to there, to those for repositories. And, uh, and they had to also engage in a conversation with other people from other teams, uh, in the process that, uh, they were, uh, making those contributions.

They could contribute to some open source projects that are large projects and they are being used. So it's something that I'm looking for. Something we had some stats, uh, on github.","Do some research about DevOps topic, write an essay, and if the tool is open source, contribute to that tool and fix some issues and report it to the teachers.

The students should contribute and engage in the development process of the large projects with more than a hundred stars on Github.

Students could contribute to some open source projects that are large and being used and had more than one hundred stars."
13,190,"So, uh, we didn't have some predefined, uh, projects, and as we can, yes, this was a bigger problem for us.",Predefined project is important for the organization of the course.
13,191,"In fact, some of them, we asked them to, um, to, if they wanted to do a tutorial on a tool, we ask them to upload that tutorial on, uh, Katacoda.

So we asked the students, uh, to, uh, use another tool if they want to present something that doesn't work on katacoda. So, uh, the way that we solved it was to change the requirements and to change the, uh, change the environment and the tools that they had to use.

So that's the course automation and executable tutorial was, uh, chatter, katacoda, um, website. They use the katacoda that website to, uh, to write a tutorial on a tool for them DevOps.","Use the Katacoda website to students create tutorials about tools.

Change the requirements and the tools to solve the issues in environment setup on Katacoda.

The students write a tutorial about a DevOps tool on katacoda to describe the course automation."
13,192,"And they had to also engage in a conversation with other people from other teams, uh, in the process that, uh, they were, uh, making those contributions.

Other task that we ask them to do something for our own course, and, uh, then, uh, engage in a conversation with TAs and other students to make sure everything's more work well.
","Make students engage with people from other teams in the classes.

Engage in a conversation with teacher assistants and other students to make sure everything's more work well."
13,193,"if it was up to me, I would put some time to laying the background. And I'm talking about basics of DevOps and basics of some tools that are mainly used by everyone.",Teacher assistants help students with basics of DevOps concepts and tools.
13,194,"I think the time that we had was actually enough, it was, I think about two months ... Students had, uh, four hours in each week and they had to work on the projects, um, as well.  ...  they had some information, some background about software engineering.",Two months with four hours in each week is enough to students with some background about software engineering.
14,195,"So I had to find one that was dying and, uh, hopefully the colleague who was handling his dying course forgot to answer to an email.",Look for a dying course to include a DevOps one in the curriculum.
14,196,"So it's constantly discussing and constantly sharing in an open way, uh, what's happening, how it's teach, uh, how it's story telling and how, how things are going.",Constantly discuss and share the DevOps teaching in an open way.
14,197,So this guy was really half time IBM and half time in the faculty of engineering.,Teachers could be half time industrial and half time faculty.
14,198,"we use the bluemix, uh, platform from, uh, IBM, that was really, everything was integrated and those kinds of things that was really good in a way,",DevOps tools are well integrated in Bluemix platform from IBM.
14,199,"And it was selected by 80% of the cohort, which usually an elective course is like 20%. So is it like we had a lot of students inside these insights because they all wanted to learn about devops.",DevOps course as elective course have students that wanted to learn about DevOps.
14,200,"what we've done was first to, um, continuously evaluate the teams are they were working on the project.",Make a continuous evaluation of the projects of the students.
